{x=6,m=309,a=1182,s=757}
{x=104,m=146,a=97,s=249}
{x=2766,m=833,a=386,s=585}
{x=373,m=514,a=466,s=2192}
{x=296,m=1190,a=249,s=963}
{x=518,m=1840,a=860,s=306}
{x=1003,m=1955,a=756,s=1098}
{x=1545,m=242,a=1479,s=576}
{x=77,m=1717,a=475,s=1692}
{x=417,m=1517,a=2199,s=374}
{x=3247,m=348,a=1065,s=1154}
{x=456,m=868,a=182,s=1077}
{x=464,m=425,a=15,s=781}
{x=640,m=294,a=303,s=261}
{x=1018,m=327,a=18,s=1830}
{x=262,m=988,a=1974,s=1665}
{x=123,m=525,a=3062,s=460}
{x=228,m=2020,a=29,s=701}
{x=129,m=1163,a=1561,s=958}
{x=29,m=1576,a=74,s=348}
{x=64,m=2153,a=63,s=1771}
{x=71,m=66,a=1642,s=1749}
{x=1373,m=3063,a=1958,s=561}
{x=2277,m=3766,a=384,s=363}
{x=2956,m=127,a=865,s=1862}
{x=599,m=115,a=2360,s=526}
{x=651,m=644,a=580,s=514}
{x=880,m=173,a=613,s=3270}
{x=1228,m=951,a=1515,s=333}
{x=1621,m=2392,a=2665,s=1515}
{x=933,m=1805,a=228,s=1720}
{x=25,m=1553,a=54,s=3177}
{x=85,m=550,a=273,s=142}
{x=489,m=624,a=126,s=557}
{x=256,m=2513,a=509,s=186}
{x=2616,m=377,a=2497,s=707}
{x=688,m=509,a=410,s=557}
{x=1306,m=105,a=1605,s=3217}
{x=1405,m=31,a=824,s=543}
{x=600,m=559,a=1299,s=110}
{x=2683,m=1112,a=458,s=27}
{x=1240,m=882,a=417,s=1066}
{x=651,m=667,a=178,s=3045}
{x=2089,m=19,a=879,s=90}
{x=263,m=423,a=41,s=734}
{x=630,m=44,a=135,s=98}
